temperatur,sonnenschein,bewölkung,windgeschwindigkeit,niederschlag
20.7,1.3,9.666666667,11.9,6.4
15.8,3,9.333333333,11.3,3.8
15.3,3.4,9,13.7,1.9
16.6,9.2,3.333333333,12.3,0
19.2,10.4,3.666666667,12.3,0
19.4,3.8,4.666666667,14.8,0
18.2,7.9,5.666666667,15.1,0
17.3,11.8,2,12.8,0
19.7,8.8,4.666666667,12.9,0
18.3,2.1,9.333333333,7.4,2.8
15.7,1,9.333333333,12.2,2.7
15.5,0.6,9.333333333,13.1,1.3
17.4,7,6.666666667,10.9,0
19.7,9.2,4,25.3,0.4
16.4,9.8,6,15.4,5.5
13.8,0,10,10.3,0.3
12.5,0,9.333333333,11.2,14.3
12.9,8.8,5.666666667,9.5,0.4
12.1,0,10,13.8,50.4
11.6,0,10,15.4,1.4
13.3,2.6,9,15.6,0
15.0,1.2,7.333333333,10.8,0
13.3,3.7,7.333333333,9.8,0.6
13.5,0,9,7.1,0
14.5,3.8,6.333333333,7.6,0.3
15.9,5.2,5,5.4,0
15.0,6.7,7,7.1,0
16.4,10.6,0.666666667,11.2,0
14.0,10.6,1.666666667,11.1,0
13.1,11.1,0.333333333,13.8,0
